Pocet replikacii;Pocet technikov;Pocet automechanikov;Pocet vozidiel v systeme;Pocet vozidiel v systeme IS;Pocet vozidel na konci dna;Cas v systeme;Cas v systeme IS;Cakanie na prevzatie;Dlzka rady;Volni technici;Volni automechanici typ
1;1;1;0;(0, 0);0;0;(0, 0);0;0;0;0
10000;1;1;82,8061226926608;(82,65310597024936, 82,95913941507223);145,2043;14474,714216687828;(14465,231306184436, 14484,197127191219);9049,223339438007;77,0466726574556;0,6880635731097018;0,015748102253132494
